SectionName,Section,Low22,Student22,Regular22,Year,MembershipCount
Aging and the Life Course,,25,136,351,2008,606
Aging and the Life Course,,25,136,351,2009,624
Aging and the Life Course,,25,136,351,2010,605
Aging and the Life Course,,25,136,351,2011,612
Aging and the Life Course,,25,136,351,2012,620
Aging and the Life Course,,25,136,351,2013,610
Aging and the Life Course,,25,136,351,2014,580
Aging and the Life Course,,25,136,351,2015,612
Aging and the Life Course,,25,136,351,2016,602
Aging and the Life Course,,25,136,351,2017,607
Aging and the Life Course,,25,136,351,2018,607
Aging and the Life Course,,25,136,351,2019,578
Aging and the Life Course,,25,136,351,2020,501
Aging and the Life Course,,25,136,351,2021,523
Aging and the Life Course,,25,136,351,2022,512
"Altruism, Morality, and Social Solidarity",,9,74,167,2008,NA
"Altruism, Morality, and Social Solidarity",,9,74,167,2009,139
"Altruism, Morality, and Social Solidarity",,9,74,167,2010,216
"Altruism, Morality, and Social Solidarity",,9,74,167,2011,320
"Altruism, Morality, and Social Solidarity",,9,74,167,2012,305
"Altruism, Morality, and Social Solidarity",,9,74,167,2013,306
"Altruism, Morality, and Social Solidarity",,9,74,167,2014,318
"Altruism, Morality, and Social Solidarity",,9,74,167,2015,307
"Altruism, Morality, and Social Solidarity",,9,74,167,2016,288
"Altruism, Morality, and Social Solidarity",,9,74,167,2017,259
"Altruism, Morality, and Social Solidarity",,9,74,167,2018,235
"Altruism, Morality, and Social Solidarity",,9,74,167,2019,237
"Altruism, Morality, and Social Solidarity",,9,74,167,2020,230
"Altruism, Morality, and Social Solidarity",,9,74,167,2021,274
"Altruism, Morality, and Social Solidarity",,9,74,167,2022,250
Animals and Society,,9,28,75,2008,176
Animals and Society,,9,28,75,2009,180
Animals and Society,,9,28,75,2010,167
Animals and Society,,9,28,75,2011,172
Animals and Society,,9,28,75,2012,149
Animals and Society,,9,28,75,2013,160
Animals and Society,,9,28,75,2014,154
Animals and Society,,9,28,75,2015,141
Animals and Society,,9,28,75,2016,140
Animals and Society,,9,28,75,2017,146
Animals and Society,,9,28,75,2018,148
Animals and Society,,9,28,75,2019,149
Animals and Society,,9,28,75,2020,136
Animals and Society,,9,28,75,2021,145
Animals and Society,,9,28,75,2022,112
Asia and Asian America,,28,147,271,2008,368
Asia and Asian America,,28,147,271,2009,405
Asia and Asian America,,28,147,271,2010,351
Asia and Asian America,,28,147,271,2011,377
Asia and Asian America,,28,147,271,2012,337
Asia and Asian America,,28,147,271,2013,349
Asia and Asian America,,28,147,271,2014,336
Asia and Asian America,,28,147,271,2015,313
Asia and Asian America,,28,147,271,2016,348
Asia and Asian America,,28,147,271,2017,366
Asia and Asian America,,28,147,271,2018,354
Asia and Asian America,,28,147,271,2019,388
Asia and Asian America,,28,147,271,2020,399
Asia and Asian America,,28,147,271,2021,431
Asia and Asian America,,28,147,271,2022,446
Children and Youth,,16,101,234,2008,419
Children and Youth,,16,101,234,2009,433
Children and Youth,,16,101,234,2010,434
Children and Youth,,16,101,234,2011,447
Children and Youth,,16,101,234,2012,409
Children and Youth,,16,101,234,2013,441
Children and Youth,,16,101,234,2014,421
Children and Youth,,16,101,234,2015,406
Children and Youth,,16,101,234,2016,399
Children and Youth,,16,101,234,2017,342
Children and Youth,,16,101,234,2018,380
Children and Youth,,16,101,234,2019,419
Children and Youth,,16,101,234,2020,348
Children and Youth,,16,101,234,2021,392
Children and Youth,,16,101,234,2022,351
Collective Behavior and Social Movements,,41,195,461,2008,836
Collective Behavior and Social Movements,,41,195,461,2009,825
Collective Behavior and Social Movements,,41,195,461,2010,767
Collective Behavior and Social Movements,,41,195,461,2011,874
Collective Behavior and Social Movements,,41,195,461,2012,841
Collective Behavior and Social Movements,,41,195,461,2013,839
Collective Behavior and Social Movements,,41,195,461,2014,835
Collective Behavior and Social Movements,,41,195,461,2015,814
Collective Behavior and Social Movements,,41,195,461,2016,813
Collective Behavior and Social Movements,,41,195,461,2017,807
Collective Behavior and Social Movements,,41,195,461,2018,782
Collective Behavior and Social Movements,,41,195,461,2019,740
Collective Behavior and Social Movements,,41,195,461,2020,712
Collective Behavior and Social Movements,,41,195,461,2021,767
Collective Behavior and Social Movements,,41,195,461,2022,697
"Communication, Information Technologies, and Media Sociology",,32,116,233,2008,318
"Communication, Information Technologies, and Media Sociology",,32,116,233,2009,317
"Communication, Information Technologies, and Media Sociology",,32,116,233,2010,318
"Communication, Information Technologies, and Media Sociology",,32,116,233,2011,323
"Communication, Information Technologies, and Media Sociology",,32,116,233,2012,325
"Communication, Information Technologies, and Media Sociology",,32,116,233,2013,375
"Communication, Information Technologies, and Media Sociology",,32,116,233,2014,371
"Communication, Information Technologies, and Media Sociology",,32,116,233,2015,331
"Communication, Information Technologies, and Media Sociology",,32,116,233,2016,370
"Communication, Information Technologies, and Media Sociology",,32,116,233,2017,350
"Communication, Information Technologies, and Media Sociology",,32,116,233,2018,350
"Communication, Information Technologies, and Media Sociology",,32,116,233,2019,365
"Communication, Information Technologies, and Media Sociology",,32,116,233,2020,352
"Communication, Information Technologies, and Media Sociology",,32,116,233,2021,437
"Communication, Information Technologies, and Media Sociology",,32,116,233,2022,381
Community and Urban Sociology,,23,164,421,2008,727
Community and Urban Sociology,,23,164,421,2009,695
